ASIN,FBA_Cost_USD,NARF_Cost_USD
B08641X3SJ,54.6,57.87
B08641Z6TQ,53.47,56.67
B0864273ZY,62.51,66.31
B08642GVHT,53.47,56.67
B08642RWR4,55.73,59.06
B08642S43T,48.95,51.87
B08642V8KM,52.34,55.47
B08642X5KS,54.6,57.87
B08642Z1FN,54.6,57.87
B086434V2X,54.6,57.87
B086438BCD,55.73,59.06
B08643BD45,55.73,59.06
B08643C3KJ,51.21,54.27
B08643GF3X,55.73,59.06
B08643KDDC,53.47,56.67
B08643LK7D,53.47,56.67
B08643M777,54.6,57.87
B08643Q95N,55.73,59.06
B08643QN9P,53.47,56.67
B086VP94L9,76.07,80.07
B086VPBNWQ,76.07,80.07
B0874SL5VC,55.73,59.06
B0882LQ4DV,30.87,32.47
B0882PJJT2,30.87,32.47
B0882PVCKP,30.87,32.47
B0882Y297K,30.87,32.47
B08886Z9ZC,73.81,78.31
B08B1VXVRN,8.26,8.70
B08C2CSJCB,55.73,59.06
B08CDBRN5Y,39.91,41.99
B08CGGMNY4,44.43,46.75
B08CGHKXW4,108.84,115.51
B08CGK1DBQ,45.56,47.94
B08CGKXL9L,131.44,139.51
B08CGP5RG9,47.82,50.32
B08CGYB5WW,43.3,45.56
B08CK9FVFP,64.77,68.71
B08CKGXSVC,67.03,71.11
B08CKP8PQB,64.77,68.71
B08CMJX2T1,64.77,68.71
B08CMQY2PG,62.51,66.31
B08CMTMK8Z,67.03,71.11
B08CN19ZS1,64.77,68.71
B08CRGB8FM,38.78,41.11
B08CRKQMW4,38.78,41.11
B08CRLWGZ6,38.78,41.11
B08CRMX15X,38.78,41.11
B08CRPQ2TK,47.82,50.71
B08CRR19XD,130.31,138.31
B08CTVNQX2,50.08,53.11
B08CTXJV25,50.08,53.11
B08CTZ2QJ3,50.08,53.11
B08CV6CVSD,54.6,57.87
B08CV6LMHV,53.47,56.67
B08CZL5C1Q,26.02,24.14
B08D686BV5,36.52,38.68
B08D6FYSWH,62.51,66.26
B08D7HCDRX,54.6,57.87
B08D7HRKC5,55.73,59.06
B08D7HRRH9,56.86,60.26
B08D8ZKSPX,59.12,62.66
B08DCSVWVG,62.51,66.26
B08DCW1NVN,59.12,62.66
B08DDCKMB5,59.12,62.66
B08DKFKLHB,51.21,54.27
B08DNGJXQW,54.6,57.87
B08DQND82H,55.73,59.06
B08DR3NVQP,50.08,53.07
B08DR3R38X,55.73,59.06
B08DR4M4D3,52.34,55.47
B08DR5146J,54.6,57.87
B08DXRNMT6,53.47,56.67
B08F21ZQNX,29.95,27.71
B08F23YW9F,29.95,27.71
B08F24RY35,29.95,27.71
B08F2B68K9,29.95,27.71
B08F51H6JX,103.19,109.51
B08F9VDXYY,45.56,48.27
B08FJC4H82,29.95,27.71
B08FZQ86LC,64.77,68.71
B08FZQKQM6,67.03,71.11
B08GL2DPFV,47.82,50.67
B08J44J82H,65.9,69.91
B08J4CKYJB,52.34,55.51
B08KJ5QF3R,26.02,24.14
B08LZZ4K2Y,59.12,62.66
B08MV7F876,78.33,83.04
B08MV7JNFW,78.33,83.04
B08MV7M139,78.33,83.04
B08MV8PCX8,78.33,83.04
B08MV98CKP,78.33,83.04
B08MWR6XZ7,59.12,62.66
B08PFPFKJY,62.51,66.26
B08PTKCCF9,62.51,66.26
B08PTLD29L,60.25,63.86
B08PTM3P25,62.51,66.26
B08Q3FCW4D,20.69,21.90
B08QDHJSLK,59.12,62.66
B08QHZKNP2,70.42,74.65
B08QJ24DTM,70.42,74.65
B08QJ31RCH,70.42,74.65
B08QJ31WCQ,70.42,74.65
B08QJ3PCHY,70.42,74.65
B08RDBHHJS,16.85,15.91
B08S9596NX,16.85,15.81
B08S9MDV4D,16.85,15.91
B08TB6LPHM,54.6,57.87
B08TB6YT7H,53.47,56.67
B08TB84SLK,55.73,59.06
B08THQYRST,36.52,38.42
B08TP4RMH3,39.91,41.99
B08TP4XT2F,54.6,57.87
B08TP6XR1Z,47.82,50.67
B08TP8LYPH,55.73,59.06
B08TP8MC48,55.73,59.06
B08TP8N6T7,62.51,66.26
B08TPL8BLQ,53.47,56.67
B08TPSXV9S,53.47,56.67
B08TW7CPZH,55.73,59.06
B08TW7ZHTM,54.6,57.87
B08TWC8FDV,50.08,53.07
B08TWCYKV1,52.34,55.47
B08TWDW1X2,52.34,55.47
B08TWDWZ6P,55.73,59.06
B08TWF7M6C,54.6,57.87
B08TWF87LC,50.08,53.07
B08TWFHMB4,47.82,50.67
B08TWFKP4L,55.73,59.06
B08TWFR91B,47.82,50.67
B08TWG2FDK,50.08,53.07
B08V83QYY2,22.96,24.31
B08V855MZ9,52.34,55.51
B08V8921VD,52.34,55.51
B08V8DR4DD,26.35,27.91
B08V8FRVPW,22.96,24.31
B08V8H2VWB,26.35,27.91
B08V8LF88M,102.06,108.31
B08V8LYB35,24.09,25.51
B08V8M5G5H,22.96,24.31
B08V8NVS9Z,26.35,27.91
B08V8P8TB6,24.09,25.51
B08V8XLYZ3,24.09,25.51
B08VBDZKK3,29.95,27.71
B08VBH46G6,29.95,27.71
B08VBWMWVH,29.95,27.71
B08VC1QJZP,55.73,59.11
B08VC67SHK,29.95,27.71
B08WH6LKJG,55.73,59.06
B08WM2NHDP,53.47,56.67
B08WM2PM7Z,53.47,56.67
B08WM2XG33,55.73,59.06
B08WM4KX57,55.73,59.06
B08XJG2PQY,20.69,21.90
B08XJG4QZ1,20.69,21.90
B08XJN7R4B,20.69,21.90
B08XK9XX2V,20.69,21.90
B092V1951Y,59.12,62.66
B093S9LYLT,59.12,62.66
B093WD15C7,59.12,62.66
B09463GQN3,11.61,11.05
B09466RLP5,11.61,11.05
B095J18FXW,59.12,62.66
B095J3RQK2,63.64,67.46
B097NBT92M,47.82,50.67
B097NF6N51,48.95,51.87
B097TR3QYB,50.08,53.07
B098S2LBZ3,56.86,60.26
B099QTP382,47.82,50.67
B09BFLQX29,56.86,60.26
B09F5988Y7,44.43,47.07
B09F5CD9JN,47.82,50.67
B09F5FN5X1,111.1,117.82
B09F5FZGY7,52.34,55.47
B09F5G481J,77.2,81.85
B09F5JMLVY,111.1,117.82
B09F5JP8BL,77.2,81.85
B09F5MCVQK,77.2,81.85
